hrs	 time	 fatigue
21.375	 18.3717	 5.84375
21.4375	 18.3585	 5.85938
21.5	 18.3452	 5.875
21.5625	 18.332	 5.89062
21.625	 18.3188	 5.90625
21.6875	 18.3055	 5.92188
21.75	 18.2923	 5.9375
21.8125	 18.2791	 5.95312
21.875	 18.2658	 5.96875
21.9375	 18.2526	 5.98438
22	 18.2393	 6
22.0625	 18.241	 6
22.125	 18.2427	 6
22.1875	 18.2444	 6
22.25	 18.2461	 6
22.3125	 18.2478	 6
22.375	 18.2495	 6
22.4375	 18.2512	 6
22.5	 18.2529	 6
22.5625	 18.2546	 6
22.625	 18.2562	 6
22.6875	 18.2579	 6
22.75	 18.2596	 6
22.8125	 18.2612	 6
22.875	 18.2629	 6
22.9375	 18.2645	 6
23	 18.2662	 6
23.0625	 18.2678	 6
23.125	 18.2695	 6
23.1875	 18.2711	 6
23.25	 18.2728	 6
23.3125	 18.2744	 6
23.375	 18.276	 6
23.4375	 18.2777	 6
23.5	 18.2793	 6
23.5625	 18.2809	 6
23.625	 18.2825	 6
23.6875	 18.2841	 6
23.75	 18.2857	 6
23.8125	 18.2874	 6
23.875	 18.289	 6
23.9375	 18.2906	 6
24	 18.2921	 6
24.0625	 18.3237	 5.96875
24.125	 18.3552	 5.9375
24.1875	 18.3868	 5.90625
24.25	 18.4184	 5.875
24.3125	 18.45	 5.84375
24.375	 18.4817	 5.8125
24.4375	 18.5133	 5.78125
24.5	 18.545	 5.75
24.5625	 18.5768	 5.71875
24.625	 18.6086	 5.6875
24.6875	 18.6404	 5.65625
24.75	 18.6723	 5.625
24.8125	 18.7042	 5.59375
24.875	 18.7361	 5.5625
24.9375	 18.7681	 5.53125
25	 18.8002	 5.5
25.0625	 18.8323	 5.46875
25.125	 18.8644	 5.4375
25.1875	 18.8966	 5.40625
25.25	 18.9289	 5.375
25.3125	 18.9613	 5.34375
25.375	 18.9937	 5.3125
25.4375	 19.0262	 5.28125
25.5	 19.0587	 5.25
25.5625	 19.0913	 5.21875
25.625	 19.1241	 5.1875
25.6875	 19.1568	 5.15625
25.75	 19.1897	 5.125
25.8125	 19.2227	 5.09375
25.875	 19.2557	 5.0625
25.9375	 19.2889	 5.03125
26	 19.3221	 5
26.0625	 19.3396	 4.98438
26.125	 19.3571	 4.96875
26.1875	 19.3746	 4.95312
26.25	 19.3921	 4.9375
26.3125	 19.4096	 4.92188
26.375	 19.4272	 4.90625
26.4375	 19.4448	 4.89062
26.5	 19.4625	 4.875
26.5625	 19.4801	 4.85938
26.625	 19.4978	 4.84375
26.6875	 19.5156	 4.82812
26.75	 19.5333	 4.8125
26.8125	 19.5511	 4.79688
26.875	 19.569	 4.78125
26.9375	 19.5868	 4.76562
27	 19.6047	 4.75
27.0625	 19.6226	 4.73438
27.125	 19.6406	 4.71875
27.1875	 19.6586	 4.70312
27.25	 19.6766	 4.6875
27.3125	 19.6947	 4.67188
27.375	 19.7128	 4.65625
27.4375	 19.7309	 4.64062
27.5	 19.7491	 4.625
27.5625	 19.7673	 4.60938
27.625	 19.7856	 4.59375
27.6875	 19.8039	 4.57812
27.75	 19.8222	 4.5625
27.8125	 19.8406	 4.54688
27.875	 19.859	 4.53125
27.9375	 19.8775	 4.51562
28	 19.896	 4.5
28.0625	 19.8806	 4.51562
28.125	 19.8653	 4.53125
28.1875	 19.85	 4.54688
28.25	 19.8347	 4.5625
28.3125	 19.8194	 4.57812
28.375	 19.8042	 4.59375
28.4375	 19.7889	 4.60938
28.5	 19.7738	 4.625
28.5625	 19.7586	 4.64062
28.625	 19.7435	 4.65625
28.6875	 19.7284	 4.67188
28.75	 19.7133	 4.6875
28.8125	 19.6982	 4.70312
28.875	 19.6832	 4.71875
28.9375	 19.6682	 4.73438
29	 19.6532	 4.75
29.0625	 19.6383	 4.76562
29.125	 19.6233	 4.78125
29.1875	 19.6084	 4.79688
29.25	 19.5935	 4.8125
29.3125	 19.5787	 4.82812
29.375	 19.5638	 4.84375
29.4375	 19.549	 4.85938
29.5	 19.5342	 4.875
29.5625	 19.5194	 4.89062
29.625	 19.5047	 4.90625
29.6875	 19.4899	 4.92188
29.75	 19.4752	 4.9375
29.8125	 19.4605	 4.95312
29.875	 19.4458	 4.96875
29.9375	 19.4312	 4.98438
30	 19.4165	 5
30.0625	 19.4243	 4.99375
30.125	 19.4321	 4.9875
30.1875	 19.4399	 4.98125
30.25	 19.4477	 4.975
30.3125	 19.4555	 4.96875
30.375	 19.4633	 4.9625
30.4375	 19.4711	 4.95625
30.5	 19.4789	 4.95
30.5625	 19.4867	 4.94375
30.625	 19.4945	 4.9375
30.6875	 19.5024	 4.93125
30.75	 19.5102	 4.925
30.8125	 19.518	 4.91875
30.875	 19.5258	 4.9125
30.9375	 19.5337	 4.90625
31	 19.5415	 4.9
31.0625	 19.5493	 4.89375
31.125	 19.5572	 4.8875
31.1875	 19.565	 4.88125
31.25	 19.5729	 4.875
31.3125	 19.5808	 4.86875
31.375	 19.5886	 4.8625
31.4375	 19.5965	 4.85625
31.5	 19.6043	 4.85
31.5625	 19.6122	 4.84375
31.625	 19.6201	 4.8375
31.6875	 19.628	 4.83125
31.75	 19.6359	 4.825
31.8125	 19.6438	 4.81875
31.875	 19.6517	 4.8125
31.9375	 19.6596	 4.80625
